sepalo;petalo;clase;especie
5.1;1.4;0;Iris setosa
4.9;1.4;0;Iris setosa
4.7;1.3;0;Iris setosa
4.6;1.5;0;Iris setosa
5;1.4;0;Iris setosa
5.4;1.7;0;Iris setosa
4.6;1.4;0;Iris setosa
5;1.5;0;Iris setosa
4.4;1.4;0;Iris setosa
4.9;1.5;0;Iris setosa
5.4;1.5;0;Iris setosa
4.8;1.6;0;Iris setosa
4.8;1.4;0;Iris setosa
4.3;1.1;0;Iris setosa
5.8;1.2;0;Iris setosa
5.7;1.5;0;Iris setosa
5.4;1.3;0;Iris setosa
5.1;1.4;0;Iris setosa
5.7;1.7;0;Iris setosa
5.1;1.5;0;Iris setosa
5.4;1.7;0;Iris setosa
5.1;1.5;0;Iris setosa
4.6;1;0;Iris setosa
5.1;1.7;0;Iris setosa
4.8;1.9;0;Iris setosa
5;1.6;0;Iris setosa
5;1.6;0;Iris setosa
5.2;1.5;0;Iris setosa
5.2;1.4;0;Iris setosa
4.7;1.6;0;Iris setosa
4.8;1.6;0;Iris setosa
5.4;1.5;0;Iris setosa
5.2;1.5;0;Iris setosa
5.5;1.4;0;Iris setosa
4.9;1.5;0;Iris setosa
5;1.2;0;Iris setosa
5.5;1.3;0;Iris setosa
4.9;1.5;0;Iris setosa
4.4;1.3;0;Iris setosa
5.1;1.5;0;Iris setosa
5;1.3;0;Iris setosa
4.5;1.3;0;Iris setosa
4.4;1.3;0;Iris setosa
5;1.6;0;Iris setosa
5.1;1.9;0;Iris setosa
7;4.7;1;Iris versicolor
6.4;4.5;1;Iris versicolor
6.9;4.9;1;Iris versicolor
5.5;4;1;Iris versicolor
6.5;4.6;1;Iris versicolor
5.7;4.5;1;Iris versicolor
6.3;4.7;1;Iris versicolor
4.9;3.3;1;Iris versicolor
6.6;4.6;1;Iris versicolor
5.2;3.9;1;Iris versicolor
5;3.5;1;Iris versicolor
5.9;4.2;1;Iris versicolor
6;4;1;Iris versicolor
6.1;4.7;1;Iris versicolor
5.6;3.6;1;Iris versicolor
6.7;4.4;1;Iris versicolor
5.6;4.5;1;Iris versicolor
5.8;4.1;1;Iris versicolor
6.2;4.5;1;Iris versicolor
5.6;3.9;1;Iris versicolor
5.9;4.8;1;Iris versicolor
6.1;4;1;Iris versicolor
6.3;4.9;1;Iris versicolor
6.1;4.7;1;Iris versicolor
6.4;4.3;1;Iris versicolor
6.6;4.4;1;Iris versicolor
6.8;4.8;1;Iris versicolor
6.7;5;1;Iris versicolor
6;4.5;1;Iris versicolor
5.7;3.5;1;Iris versicolor
5.5;3.8;1;Iris versicolor
5.5;3.7;1;Iris versicolor
5.8;3.9;1;Iris versicolor
6;5.1;1;Iris versicolor
5.4;4.5;1;Iris versicolor
6;4.5;1;Iris versicolor
6.7;4.7;1;Iris versicolor
6.3;4.4;1;Iris versicolor
5.6;4.1;1;Iris versicolor
5.5;4;1;Iris versicolor
5.5;4.4;1;Iris versicolor
6.1;4.6;1;Iris versicolor
5.8;4;1;Iris versicolor
5;3.3;1;Iris versicolor
5.6;4.2;1;Iris versicolor
